,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
751,Rasho NesteroviÄ,C,32,IND,70,19,17.3,3.2,6.2,0.513,0.0,0.0,0.0,3.2,6.2,0.514,0.513,0.4,0.5,0.781,1.3,2.1,3.4,1.6,0.4,0.5,0.9,2.4,6.8,2008-2009
752,Joakim Noah,C,23,CHI,80,55,24.2,2.6,4.7,0.556,0.0,0.0,0.0,2.6,4.6,0.558,0.556,1.5,2.3,0.676,3.1,4.5,7.6,1.3,0.6,1.4,1.0,3.0,6.7,2008-2009
753,AndrÃ©s Nocioni,PF-SF,29,TOT,76,18,26.2,3.9,9.2,0.427,1.6,4.1,0.399,2.3,5.1,0.449,0.515,1.9,2.4,0.792,0.7,4.0,4.8,1.3,0.5,0.4,1.5,3.4,11.4,2008-2009
754,AndrÃ©s Nocioni,PF,29,CHI,53,2,24.1,3.5,8.5,0.414,1.5,3.9,0.378,2.0,4.5,0.446,0.502,1.9,2.3,0.806,0.6,3.5,4.2,1.1,0.5,0.3,1.4,3.3,10.4,2008-2009
755,Steve Novak,PF,25,LAC,71,3,16.4,2.5,5.6,0.444,1.7,4.0,0.416,0.8,1.5,0.518,0.595,0.3,0.3,0.913,0.3,1.5,1.8,0.6,0.3,0.1,0.3,1.0,6.9,2008-2009
756,Dirk Nowitzki,PF,30,DAL,81,81,37.7,9.6,20.0,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,2008-2009
757,Jermaine O'Neal,C,30,TOT,68,61,29.8,5.4,11.3,0.474,0.0,0.0,0.0,5.4,11.3,0.475,0.474,2.6,3.3,0.788,1.9,4.5,6.4,1.8,0.4,2.0,2.1,3.1,13.3,2008-2009
758,Jermaine O'Neal,C,30,TOR,41,34,29.7,5.4,11.3,0.473,0.0,0.0,0.0,5.4,11.3,0.474,0.473,2.8,3.5,0.81,1.7,5.3,7.0,1.6,0.4,2.0,2.2,3.2,13.5,2008-2009
759,Shaquille O'Neal*,C,36,PHO,75,75,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8,2008-2009
760,Greg Oden,C,21,POR,61,39,21.5,3.2,5.8,0.564,0.0,0.0,,3.2,5.8,0.564,0.564,2.4,3.7,0.637,2.8,4.2,7.0,0.5,0.4,1.1,1.4,3.9,8.9,2008-2009
761,Lamar Odom,PF,29,LAL,78,32,29.7,4.4,9.0,0.492,0.4,1.3,0.32,4.0,7.7,0.522,0.516,2.1,3.3,0.623,2.3,5.9,8.2,2.6,1.0,1.3,1.8,3.0,11.3,2008-2009
762,Emeka Okafor,C,26,CHA,82,81,32.8,5.3,9.4,0.561,0.0,0.0,,5.3,9.4,0.561,0.561,2.7,4.5,0.593,3.4,6.7,10.1,0.6,0.6,1.7,1.8,3.0,13.2,2008-2009
763,Mehmet Okur,C,29,UTA,72,72,33.5,6.0,12.3,0.485,1.3,2.8,0.446,4.7,9.5,0.497,0.536,3.8,4.6,0.817,1.7,6.0,7.7,1.7,0.8,0.7,1.8,3.0,17.0,2008-2009
764,Kevin Ollie,PG,36,MIN,50,21,17.0,1.2,3.0,0.407,0.0,0.0,0.0,1.2,3.0,0.409,0.407,1.6,1.9,0.833,0.3,1.2,1.5,2.3,0.4,0.1,0.7,1.6,4.0,2008-2009
765,Travis Outlaw,SF,24,POR,81,6,27.7,4.8,10.5,0.453,1.1,2.9,0.377,3.7,7.6,0.482,0.505,2.2,3.0,0.723,0.9,3.2,4.1,1.0,0.6,0.7,1.2,2.1,12.8,2008-2009
766,Zaza Pachulia,C,24,ATL,77,26,19.1,2.1,4.2,0.497,0.0,0.0,0.0,2.1,4.1,0.502,0.497,2.1,3.0,0.709,2.2,3.4,5.7,0.7,0.5,0.3,1.2,2.7,6.2,2008-2009
767,Anthony Parker,SG,33,TOR,80,71,33.0,4.0,9.4,0.426,1.2,3.0,0.39,2.8,6.4,0.442,0.488,1.5,1.8,0.834,0.6,3.4,4.0,3.4,1.3,0.2,1.4,1.8,10.7,2008-2009
768,Tony Parker,PG,26,SAS,72,71,34.1,8.9,17.5,0.506,0.3,0.9,0.292,8.6,16.6,0.518,0.513,3.9,5.0,0.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22.0,2008-2009
769,Chris Paul,PG,23,NOH,78,78,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,2008-2009
770,Sasha PavloviÄ,SF,25,CLE,66,12,16.0,1.8,4.2,0.422,0.7,1.8,0.41,1.0,2.4,0.43,0.509,0.4,0.8,0.463,0.5,1.5,1.9,1.1,0.3,0.2,0.7,1.8,4.6,2008-2009
771,Kendrick Perkins,C,24,BOS,76,76,29.6,3.6,6.3,0.577,0.0,0.0,0.0,3.6,6.3,0.58,0.577,1.3,2.1,0.6,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3,8.5,2008-2009
772,Paul Pierce*,SF,31,BOS,81,81,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7,20.5,2008-2009
773,MickaÃ«l PiÃ©trus,SG,26,ORL,54,25,24.6,3.3,7.9,0.413,1.5,4.1,0.359,1.8,3.8,0.473,0.507,1.4,2.0,0.709,0.8,2.4,3.3,1.2,0.6,0.4,1.0,2.3,9.4,2008-2009
774,James Posey,SG,32,NOH,75,0,28.5,2.9,7.0,0.412,1.5,4.2,0.369,1.3,2.8,0.476,0.523,1.6,1.9,0.822,0.5,4.3,4.8,1.1,0.8,0.3,1.1,2.9,8.9,2008-2009
775,Leon Powe,PF,25,BOS,70,7,17.5,2.5,4.8,0.524,0.0,0.0,,2.5,4.8,0.524,0.524,2.6,3.8,0.689,2.1,2.9,4.9,0.7,0.3,0.5,1.1,2.7,7.7,2008-2009
776,Tayshaun Prince,SF,28,DET,82,82,37.3,5.6,12.4,0.45,0.7,1.7,0.397,4.9,10.7,0.458,0.477,2.3,3.0,0.778,1.6,4.2,5.8,3.1,0.5,0.6,1.2,1.3,14.2,2008-2009
777,Joel Przybilla,C,29,POR,82,43,23.8,2.0,3.3,0.625,0.0,0.0,0.0,2.0,3.3,0.627,0.625,1.4,2.1,0.663,2.5,6.3,8.7,0.3,0.4,1.2,1.0,2.6,5.5,2008-2009
778,Vladimir RadmanoviÄ,SF,28,TOT,78,31,18.5,2.5,6.0,0.421,1.3,3.4,0.401,1.2,2.6,0.446,0.533,0.6,0.7,0.741,0.6,2.3,2.8,1.0,0.6,0.2,1.3,1.4,6.9,2008-2009
779,Vladimir RadmanoviÄ,SF,28,LAL,46,28,16.8,2.1,4.7,0.444,1.3,3.0,0.441,0.8,1.7,0.449,0.584,0.5,0.6,0.852,0.4,2.2,2.5,0.8,0.6,0.2,1.0,1.1,5.9,2008-2009
780,Anthony Randolph,PF,19,GSW,63,22,17.9,3.2,6.8,0.462,0.0,0.1,0.0,3.2,6.8,0.466,0.462,1.6,2.2,0.716,2.0,3.7,5.8,0.8,0.7,1.2,1.3,2.2,7.9,2008-2009
781,Zach Randolph,PF-C,27,TOT,50,45,35.1,8.3,17.5,0.475,0.6,1.9,0.33,7.7,15.5,0.494,0.494,3.6,4.9,0.734,3.1,6.9,10.1,2.1,0.9,0.3,2.3,2.7,20.8,2008-2009
782,J.J. Redick,SG,24,ORL,64,5,17.4,1.8,4.7,0.391,1.0,2.8,0.374,0.8,1.9,0.417,0.503,1.3,1.5,0.871,0.1,1.6,1.7,1.1,0.3,0.0,0.8,1.1,6.0,2008-2009
783,Jason Richardson,SG,28,TOT,72,71,33.5,6.5,13.5,0.477,1.8,4.5,0.397,4.7,9.0,0.518,0.544,2.1,2.8,0.769,1.1,3.4,4.4,2.0,1.1,0.4,1.3,2.0,16.8,2008-2009
784,Jason Richardson,SG,28,PHO,58,57,33.1,6.3,13.0,0.488,1.8,4.6,0.383,4.6,8.4,0.545,0.556,1.9,2.5,0.778,1.1,3.4,4.5,1.9,1.1,0.4,1.2,1.8,16.4,2008-2009
785,Quentin Richardson,SG,28,NYK,72,51,26.3,3.6,9.3,0.393,1.7,4.6,0.365,2.0,4.7,0.42,0.483,1.2,1.6,0.761,1.0,3.4,4.4,1.6,0.7,0.1,1.0,1.8,10.2,2008-2009
786,Luke Ridnour,PG,27,MIL,72,50,28.2,3.5,8.6,0.403,0.8,2.2,0.35,2.7,6.4,0.42,0.447,1.8,2.1,0.869,0.5,2.6,3.0,5.1,1.3,0.2,1.8,2.8,9.6,2008-2009
787,Nate Robinson,PG,24,NYK,74,11,29.9,6.1,13.9,0.437,1.7,5.2,0.325,4.4,8.7,0.504,0.498,3.4,4.0,0.841,1.3,2.6,3.9,4.1,1.3,0.1,1.9,2.8,17.2,2008-2009
788,Sergio RodrÃ­guez,PG,22,POR,80,13,15.3,1.6,4.1,0.392,0.5,1.4,0.325,1.2,2.7,0.428,0.448,0.8,1.0,0.792,0.5,1.1,1.6,3.6,0.7,0.0,1.5,1.7,4.5,2008-2009
789,Rajon Rondo,PG,22,BOS,80,80,33.0,4.8,9.5,0.505,0.2,0.6,0.313,4.6,8.9,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,2.4,11.9,2008-2009
790,Derrick Rose,PG,20,CHI,81,80,37.0,7.1,14.9,0.475,0.2,0.9,0.222,6.9,14.0,0.491,0.482,2.4,3.1,0.788,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1.5,16.8,2008-2009
791,Quinton Ross,SF,27,MEM,68,7,17.1,1.5,3.8,0.382,0.5,1.3,0.375,1.0,2.5,0.386,0.446,0.5,0.6,0.81,0.4,1.4,1.9,0.7,0.5,0.2,0.5,1.7,3.9,2008-2009
792,Brandon Roy,SG,24,POR,78,78,37.2,8.1,16.9,0.48,1.1,2.8,0.377,7.1,14.1,0.501,0.512,5.3,6.5,0.824,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6,2008-2009
793,Brandon Rush,SG,23,IND,75,19,24.0,3.2,7.7,0.423,1.0,2.8,0.373,2.2,4.9,0.451,0.49,0.6,0.9,0.697,0.5,2.7,3.1,0.9,0.5,0.5,1.0,1.7,8.1,2008-2009
794,John Salmons,SF,29,TOT,79,74,37.5,6.5,13.8,0.472,1.6,3.8,0.417,4.9,10.0,0.493,0.53,3.6,4.4,0.83,0.7,3.5,4.2,3.2,1.1,0.3,2.1,2.3,18.3,2008-2009
795,John Salmons,SF,29,SAC,53,53,37.4,6.6,14.0,0.472,1.5,3.5,0.418,5.2,10.6,0.489,0.524,3.6,4.4,0.823,0.8,3.4,4.2,3.7,1.1,0.2,2.3,2.3,18.3,2008-2009
796,Luis Scola,PF,28,HOU,82,82,30.3,5.2,9.7,0.531,0.0,0.0,0.0,5.2,9.7,0.533,0.531,2.4,3.1,0.76,2.4,6.3,8.8,1.5,0.8,0.1,1.5,3.2,12.7,2008-2009
797,Thabo Sefolosha,SF-SG,24,TOT,66,36,22.0,2.3,5.4,0.426,0.4,1.3,0.276,1.9,4.1,0.474,0.459,0.9,1.1,0.836,0.8,2.8,3.7,1.7,1.1,0.7,1.0,1.6,5.9,2008-2009
798,Thabo Sefolosha,SF,24,CHI,43,14,17.1,1.8,4.2,0.434,0.3,1.2,0.3,1.5,3.1,0.485,0.475,0.5,0.6,0.84,0.6,2.3,2.9,1.5,0.8,0.4,0.9,1.2,4.5,2008-2009
799,Ramon Sessions,PG,22,MIL,79,39,27.5,4.4,9.8,0.445,0.1,0.4,0.176,4.3,9.4,0.457,0.449,3.6,4.5,0.794,0.8,2.6,3.4,5.7,1.1,0.1,1.9,2.0,12.4,2008-2009
800,Bobby Simmons,SF,28,NJN,71,44,24.4,2.8,6.2,0.449,1.6,3.7,0.447,1.1,2.5,0.453,0.582,0.6,0.8,0.741,1.0,2.9,3.9,1.3,0.7,0.1,0.9,2.6,7.8,2008-2009
801,Brian Skinner,PF,32,LAC,51,21,16.5,1.8,4.0,0.449,0.0,0.0,0.0,1.8,4.0,0.453,0.449,0.6,0.9,0.638,1.4,2.6,4.0,0.5,0.3,1.0,0.8,1.8,4.2,2008-2009
802,Craig Smith,PF,25,MIN,74,31,19.7,3.9,6.9,0.562,0.0,0.0,0.0,3.9,6.9,0.563,0.562,2.3,3.4,0.677,1.3,2.5,3.8,1.1,0.4,0.3,1.4,2.5,10.1,2008-2009
803,J.R. Smith,SG,23,DEN,81,18,27.7,5.2,11.7,0.446,2.2,5.6,0.397,3.0,6.1,0.491,0.541,2.5,3.4,0.754,0.5,3.1,3.7,2.8,1.0,0.2,1.9,2.3,15.2,2008-2009
804,Joe Smith,C,33,TOT,57,3,19.3,2.7,5.8,0.468,0.1,0.1,0.429,2.7,5.7,0.469,0.473,1.0,1.4,0.72,1.6,3.1,4.6,0.7,0.3,0.7,0.4,2.1,6.6,2008-2009
805,Josh Smith,PF,23,ATL,69,69,35.1,6.1,12.3,0.492,0.4,1.3,0.299,5.7,11.0,0.514,0.508,3.1,5.2,0.588,1.9,5.3,7.2,2.4,1.4,1.6,2.3,2.7,15.6,2008-2009
806,Darius Songaila,C,30,WAS,77,29,19.8,3.2,5.9,0.532,0.0,0.0,0.0,3.2,5.9,0.533,0.532,1.0,1.2,0.889,1.0,2.0,2.9,1.2,0.8,0.3,1.0,2.6,7.4,2008-2009
807,Marreese Speights,C,21,PHI,79,2,16.0,3.2,6.4,0.502,0.0,0.1,0.25,3.2,6.3,0.506,0.504,1.3,1.7,0.773,1.6,2.2,3.7,0.4,0.3,0.7,0.6,2.3,7.7,2008-2009
808,Peja StojakoviÄ,SF,31,NOH,61,59,34.2,4.7,11.8,0.399,2.4,6.3,0.378,2.3,5.5,0.424,0.5,1.5,1.7,0.894,0.7,3.6,4.3,1.2,0.9,0.0,0.8,1.7,13.3,2008-2009
809,Amar'e Stoudemire,PF,26,PHO,53,53,36.8,7.6,14.1,0.539,0.1,0.1,0.429,7.6,14.0,0.54,0.541,6.1,7.3,0.835,2.2,5.9,8.1,2.0,0.9,1.1,2.8,3.1,21.4,2008-2009
810,Rodney Stuckey,PG,22,DET,79,65,31.9,5.1,11.6,0.439,0.3,1.0,0.295,4.8,10.6,0.453,0.452,2.9,3.7,0.803,0.9,2.6,3.5,4.9,1.0,0.1,2.2,2.7,13.4,2008-2009
811,Wally Szczerbiak,SF,31,CLE,74,5,20.6,2.4,5.4,0.45,0.9,2.3,0.411,1.5,3.1,0.478,0.536,1.2,1.4,0.849,0.6,2.6,3.1,1.1,0.4,0.1,0.7,1.8,7.0,2008-2009
812,Mike Taylor,PG,23,LAC,51,5,15.1,2.2,5.2,0.412,0.3,0.8,0.325,1.9,4.5,0.427,0.436,1.1,1.6,0.691,0.4,1.3,1.7,2.1,0.7,0.0,1.4,1.6,5.7,2008-2009
813,Sebastian Telfair,PG,23,MIN,75,43,27.9,3.6,9.3,0.383,1.0,2.8,0.346,2.6,6.5,0.399,0.435,1.7,2.1,0.819,0.4,1.3,1.7,4.6,1.0,0.2,1.9,2.5,9.8,2008-2009
814,Jason Terry,SG,31,DAL,74,11,33.7,7.3,15.8,0.463,2.3,6.2,0.366,5.1,9.6,0.525,0.535,2.7,3.0,0.88,0.5,1.9,2.4,3.4,1.3,0.3,1.6,1.9,19.6,2008-2009
815,Kurt Thomas,PF,36,SAS,79,10,17.8,1.9,3.8,0.503,0.0,0.0,0.0,1.9,3.8,0.507,0.503,0.5,0.6,0.822,1.7,3.4,5.1,0.8,0.4,0.7,0.5,2.2,4.3,2008-2009
816,Tim Thomas,PF,31,TOT,64,6,19.5,3.0,6.8,0.432,1.2,3.0,0.413,1.7,3.9,0.446,0.521,1.4,1.9,0.736,0.7,2.5,3.1,1.1,0.5,0.2,1.1,2.3,8.5,2008-2009
817,Tyrus Thomas,PF,22,CHI,79,61,27.5,3.9,8.6,0.451,0.0,0.1,0.333,3.9,8.5,0.453,0.453,3.0,3.8,0.783,1.9,4.6,6.4,1.0,1.2,1.9,1.6,2.8,10.8,2008-2009
818,Jason Thompson,PF,22,SAC,82,56,28.1,4.3,8.7,0.497,0.0,0.1,0.0,4.3,8.6,0.502,0.497,2.4,3.5,0.692,2.9,4.5,7.4,1.1,0.6,0.7,1.8,3.8,11.1,2008-2009
819,Al Thornton,SF,25,LAC,71,67,37.4,6.6,14.8,0.446,0.3,1.1,0.253,6.3,13.7,0.462,0.456,3.3,4.4,0.754,1.7,3.5,5.2,1.5,0.8,0.9,1.8,3.2,16.8,2008-2009
820,Ronny Turiaf,C,26,GSW,79,26,21.5,2.4,4.6,0.508,0.0,0.0,0.0,2.4,4.6,0.512,0.508,1.2,1.6,0.79,1.1,3.4,4.6,2.1,0.4,2.1,0.9,3.1,5.9,2008-2009
821,Hedo TÃ¼rkoÄlu,SF,29,ORL,77,77,36.6,5.5,13.3,0.413,1.7,4.9,0.356,3.8,8.4,0.445,0.478,4.1,5.1,0.807,0.6,4.7,5.3,4.9,0.8,0.2,2.6,2.8,16.8,2008-2009
822,Ime Udoka,SF,31,SAS,67,3,15.4,1.6,4.3,0.383,0.6,1.9,0.328,1.0,2.4,0.426,0.455,0.4,0.7,0.609,0.4,2.4,2.8,0.8,0.5,0.2,0.6,1.3,4.3,2008-2009
823,Beno Udrih,PG,26,SAC,73,72,31.1,4.4,9.5,0.461,0.5,1.5,0.31,3.9,8.0,0.491,0.486,1.7,2.1,0.82,0.6,2.4,3.0,4.7,1.1,0.2,2.2,2.6,11.0,2008-2009
824,Anderson VarejÃ£o,PF,26,CLE,81,42,28.5,3.3,6.2,0.536,0.0,0.0,0.0,3.3,6.2,0.538,0.536,1.9,3.1,0.616,2.0,5.1,7.2,1.0,0.9,0.8,1.0,3.0,8.6,2008-2009
825,Charlie Villanueva,PF,24,MIL,78,47,26.9,6.2,14.0,0.447,1.1,3.3,0.345,5.1,10.7,0.479,0.488,2.6,3.1,0.838,2.0,4.7,6.7,1.8,0.6,0.7,1.8,3.3,16.2,2008-2009
826,Sasha VujaÄiÄ,SG,24,LAL,80,0,16.2,1.9,5.0,0.387,1.0,2.8,0.363,0.9,2.2,0.416,0.488,0.9,1.0,0.921,0.2,1.5,1.7,1.4,1.0,0.1,0.4,1.9,5.8,2008-2009
827,Dwyane Wade,SG,27,MIA,79,79,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,2008-2009
828,Von Wafer,SG,23,HOU,63,11,19.4,3.6,8.1,0.447,1.0,2.6,0.39,2.6,5.5,0.474,0.51,1.4,1.9,0.752,0.3,1.5,1.8,1.1,0.6,0.1,0.9,1.1,9.7,2008-2009
829,Ben Wallace*,PF,34,CLE,56,53,23.5,1.2,2.8,0.445,0.0,0.0,,1.2,2.8,0.445,0.445,0.5,1.1,0.422,2.4,4.0,6.5,0.8,0.9,1.3,0.6,1.5,2.9,2008-2009
830,Gerald Wallace,SF,26,CHA,71,71,37.6,5.5,11.4,0.48,0.5,1.8,0.298,4.9,9.6,0.515,0.504,5.1,6.4,0.804,1.6,6.2,7.8,2.7,1.7,0.9,2.1,3.0,16.6,2008-2009
831,Rasheed Wallace,C,34,DET,66,63,32.2,4.6,10.9,0.419,1.7,4.8,0.354,2.9,6.1,0.471,0.498,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3.0,12.0,2008-2009
832,Luke Walton,SF,28,LAL,65,34,17.9,2.1,4.7,0.436,0.3,0.9,0.298,1.8,3.8,0.468,0.464,0.6,0.9,0.719,0.8,1.9,2.8,2.7,0.5,0.2,1.1,1.6,5.0,2008-2009
833,Hakim Warrick,PF,26,MEM,82,7,24.7,4.1,8.5,0.491,0.1,0.3,0.217,4.1,8.2,0.5,0.494,3.2,4.6,0.711,1.6,3.4,5.0,0.8,0.6,0.5,1.2,2.1,11.6,2008-2009
834,C.J. Watson,PG,24,GSW,77,18,24.5,3.3,7.3,0.457,0.6,1.6,0.4,2.7,5.7,0.473,0.5,2.2,2.5,0.87,0.5,2.0,2.5,2.7,1.2,0.1,1.2,1.8,9.5,2008-2009
835,Earl Watson,PG,29,OKC,68,18,26.1,2.6,6.7,0.384,0.3,1.3,0.235,2.3,5.4,0.418,0.406,1.2,1.6,0.755,0.5,2.2,2.7,5.8,0.7,0.2,2.3,2.0,6.6,2008-2009
836,Kyle Weaver,SG,22,OKC,56,19,20.8,2.0,4.4,0.459,0.6,1.7,0.344,1.4,2.7,0.529,0.524,0.7,1.0,0.707,0.6,1.8,2.3,1.8,0.8,0.4,1.2,1.4,5.3,2008-2009
837,David West,PF,28,NOH,76,76,39.2,8.0,17.0,0.472,0.1,0.3,0.24,7.9,16.7,0.477,0.474,4.8,5.5,0.884,2.1,6.4,8.5,2.3,0.6,0.9,2.1,2.7,21.0,2008-2009
838,Delonte West,SG,25,CLE,64,64,33.6,4.5,9.8,0.457,1.4,3.6,0.399,3.0,6.2,0.49,0.53,1.4,1.7,0.833,0.5,2.7,3.2,3.5,1.5,0.2,1.4,2.0,11.7,2008-2009
839,Russell Westbrook,PG,20,OKC,82,65,32.5,5.3,13.4,0.398,0.4,1.6,0.271,4.9,11.8,0.415,0.414,4.3,5.2,0.815,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3,2008-2009
840,Chris Wilcox,C,26,TOT,62,6,16.9,3.0,6.0,0.497,0.0,0.1,0.0,3.0,5.9,0.503,0.497,1.3,2.3,0.564,1.5,2.9,4.5,0.8,0.4,0.3,1.2,2.2,7.2,2008-2009
841,Damien Wilkins,SG,29,OKC,41,14,15.5,1.9,5.2,0.362,0.7,1.8,0.375,1.2,3.4,0.355,0.425,0.9,1.1,0.804,0.5,1.2,1.7,0.9,0.5,0.2,0.9,1.3,5.3,2008-2009
842,Deron Williams,PG,24,UTA,68,68,36.8,6.8,14.5,0.471,1.0,3.3,0.31,5.8,11.1,0.518,0.506,4.8,5.6,0.849,0.4,2.5,2.9,10.7,1.1,0.3,3.4,2.0,19.4,2008-2009
843,Lou Williams,SG,22,PHI,81,0,23.7,4.1,10.4,0.398,0.8,2.7,0.286,3.4,7.7,0.438,0.435,3.8,4.8,0.79,0.4,1.6,2.0,3.0,1.0,0.2,1.9,1.6,12.8,2008-2009
844,Marvin Williams,SF,22,ATL,61,59,34.3,4.7,10.2,0.458,0.9,2.5,0.355,3.8,7.7,0.493,0.502,3.6,4.5,0.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9,2008-2009
845,Mo Williams,PG,26,CLE,81,81,35.0,6.5,13.9,0.467,2.3,5.2,0.436,4.2,8.7,0.486,0.548,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7,17.8,2008-2009
846,Metta World Peace,SF,29,HOU,69,55,35.5,6.0,15.0,0.401,2.2,5.6,0.399,3.8,9.5,0.402,0.475,2.8,3.8,0.748,0.9,4.3,5.2,3.3,1.5,0.3,2.0,2.2,17.1,2008-2009
847,Antoine Wright,SF,24,DAL,65,53,23.9,2.8,6.6,0.415,0.7,2.3,0.302,2.1,4.3,0.475,0.468,1.1,1.5,0.747,0.5,1.6,2.1,1.2,0.7,0.4,0.8,2.6,7.3,2008-2009
848,Nick Young,SG,23,WAS,82,5,22.4,4.1,9.2,0.444,0.7,2.0,0.341,3.4,7.2,0.473,0.481,2.0,2.4,0.85,0.4,1.5,1.8,1.2,0.5,0.2,1.1,1.7,10.9,2008-2009
849,Thaddeus Young,PF,20,PHI,75,71,34.4,6.3,12.8,0.495,0.7,2.2,0.341,5.6,10.6,0.526,0.524,1.9,2.5,0.735,1.9,3.2,5.0,1.1,1.3,0.3,1.6,2.2,15.3,2008-2009
850,Arron Afflalo,SG,24,DEN,82,75,27.1,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,2009-2010
851,LaMarcus Aldridge,PF,24,POR,78,78,37.5,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,2009-2010
852,Ray Allen*,SG,34,BOS,80,80,35.2,5.8,12.2,0.477,1.8,5.0,0.363,4.0,7.2,0.556,0.551,2.9,3.2,0.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,2009-2010
853,Tony Allen,SG,28,BOS,54,8,16.5,2.4,4.7,0.51,0.0,0.1,0.0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,2009-2010
854,Rafer Alston,PG,33,TOT,52,38,27.3,3.0,8.6,0.348,1.1,3.2,0.345,1.9,5.3,0.349,0.413,1.1,1.6,0.728,0.3,2.2,2.5,3.4,1.0,0.2,1.8,2.0,8.2,2009-2010
855,Chris Andersen,PF,31,DEN,76,0,22.3,1.9,3.3,0.566,0.0,0.0,0.0,1.9,3.3,0.573,0.566,2.2,3.1,0.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,2009-2010
856,Carmelo Anthony,SF,25,DEN,69,69,38.2,10.0,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,2009-2010
857,Joel Anthony,C,27,MIA,80,16,16.5,1.0,2.0,0.478,0.0,0.0,,1.0,2.0,0.478,0.478,0.8,1.2,0.717,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2.0,2.7,2009-2010
858,Trevor Ariza,SF,24,HOU,72,71,36.5,5.5,13.9,0.394,1.9,5.7,0.334,3.6,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9,2009-2010
859,Carlos Arroyo,PG,30,MIA,72,35,22.0,2.5,5.2,0.475,0.1,0.3,0.28,2.4,4.9,0.489,0.484,1.1,1.3,0.844,0.4,1.4,1.8,3.1,0.5,0.1,0.8,1.4,6.1,2009-2010
860,Chucky Atkins,PG,35,DET,40,11,16.1,1.4,3.9,0.363,0.6,1.8,0.301,0.9,2.1,0.417,0.433,0.6,0.7,0.926,0.1,0.6,0.7,2.3,0.4,0.0,0.8,1.3,4.0,2009-2010
861,D.J. Augustin,PG,22,CHA,80,2,18.4,2.1,5.4,0.386,0.9,2.2,0.393,1.2,3.2,0.381,0.467,1.3,1.6,0.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4,2009-2010
862,Leandro Barbosa,PG,27,PHO,44,5,17.9,3.5,8.3,0.425,1.0,3.1,0.324,2.5,5.2,0.485,0.485,1.5,1.7,0.877,0.3,1.3,1.6,1.5,0.5,0.3,1.0,1.6,9.5,2009-2010
863,J.J. Barea,PG,25,DAL,78,18,19.8,3.0,6.8,0.44,0.7,2.0,0.357,2.3,4.7,0.476,0.493,1.0,1.2,0.844,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6,2009-2010
864,Andrea Bargnani,PF,24,TOR,80,80,35.0,6.7,14.3,0.47,1.5,4.1,0.372,5.2,10.2,0.509,0.523,2.3,2.9,0.774,1.3,4.9,6.2,1.2,0.3,1.4,1.5,2.7,17.2,2009-2010
